Rapport_Collecte,Rapport_clean,Contamination,Etat_materiau
"Lot de papier récupéré dans un site non renseigné. Poids léger de 16.7 kg, volume moyen. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré léger 16 7kg moyen souple conducteur aspect très opaque bon état général,0,Moyen
"Lot plastique à l'Usine A. Volume 64.7 L, poids 47.3 kg. Aspect indéterminée, rigidité moyenne. Aucune trace de métal.",plastique 64 47 3kg aspect indéterminée rigidité moyenne aucune trace métal,1,Moyen
"Bris de verre ou contenants en provenance de l'Usine B. Masse non mesuré kg. Matériau dense, rigidité élevée, transparence partielle. Légère contamination observée.",bris verre contenants mesuré dense rigidité élevée transparence partielle légère contamination observée,1,Moyen
"Feuilles et cartons collectés au Centre de Tri. Masse totale non mesuré kg. Matériau léger, souple et opaque. Lot conforme aux standards de tri.",feuilles carton centre tri totale mesuré léger souple opaque conforme standard tri,0,Inconnu
"Déchet de type papier identifié à l'Usine B. Volume estimé 59.5 L, poids non mesuré kg. Texture de rigidité non mesurée, très opaque.",papier identifié 59 mesuré texture rigidité mesurée très opaque,0,Inconnu
"Déchet plastique collecté à l'Usine B. Poids 33.0 kg, volume 44.0 L. Rigidité semi-rigide, non conducteur. Surface légèrement translucide.",plastique 33 0kg 44 rigidité semi rigide conducteur surface légèrement translucide,0,Moyen
"Déchets en verre identifiés lors d'une collecte citoyenne. Poids 187.8 kg, volume 400.2 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés lors citoyenne 187 8kg 400 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Déchets en verre identifiés via la collecte citoyenne. Poids 132.2 kg, volume 252.3 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",déchets verre identifiés via citoyenne 132 2kg 252 conducteur très rigide nécessite manipulation précaution,0,Inconnu
"Feuilles et cartons collectés provenant de l'Usine A. Masse totale 16.7 kg. Matériau léger, souple et opaque. Matériau mélangé à d'autres déchets.",feuilles carton provenant totale 16 7kg léger souple opaque mélangé autres déchets,0,Inconnu
"Métal de récupération au centre de tri municipal. Masse 60.1 kg. Forte conductivité (0.954), rigidité élevée. Bonne valeur marchande.",métal récupération centre tri municipal 60 1kg forte conductivité 0 954 rigidité élevée bonne valeur marchande,0,Inconnu
"Lot de papier récupéré via la collecte citoyenne. Poids léger de 11.8 kg, volume moyen. Matériau souple, non conducteur, aspect indéterminée. Bon état général.",papier récupéré via citoyenne léger 11 8kg moyen souple conducteur aspect indéterminée bon état général,0,Moyen
"Déchet de type papier identifié provenant de l'Usine A. Volume estimé 16.5 L, poids 9.7 kg. Texture semi-rigide, très opaque.",papier identifié provenant 16 9 7kg texture semi rigide très opaque,0,Inconnu
"Lot de déchets non identifiés au Centre de Tri. Masse 10.6 kg. Comportement physique atypique, classification incertaine. Odeur inhabituelle signalée par l'agent.",déchets identifiés centre tri 10 6kg comportement physique atypique classification incertaine odeur inhabituelle signalée agent,0,Inconnu
"Lot de papier récupéré à l'Usine A. Poids léger de 20.3 kg, volume moyen. Matériau souple, non conducteur, aspect très opaque. Bon état général.",papier récupéré léger 20 3kg moyen souple conducteur aspect très opaque bon état général,0,Moyen
